Source_ID,From,Date,Place-from,To,Place_to
3,Constanze Mozart,"May 20, 1771",Paris,Abbé Stadler,Munich
5,Baron von Grimm,"December 14, 1773",Rome,Abbé Stadler,Munich
13,Emperor Joseph II,"October 25, 1778",Munich,Abbé Stadler,Munich
12,Gottfried van Swieten,"October 14, 1775",Milan,Abbé Stadler,Vienna
2,Franz Xaver Mozart,"June 23, 1775",Rome,Abbé Stadler,Verona
4,Leopold Mozart,"June 11, 1772",Salzburg,Abbé Stadler,Paris
5,Baron von Grimm,"December 30, 1777",Milan,Constanze Mozart,Paris
10,Lorenzo Da Ponte,"August 24, 1778",Rome,Constanze Mozart,Paris
8,Maria Theresia Paradis,"February 25, 1773",Verona,Constanze Mozart,London
12,Gottfried van Swieten,"February 21, 1779",London,Constanze Mozart,Paris
12,Gottfried van Swieten,"April 27, 1776",Munich,Constanze Mozart,Rome
7,Maria Anna Mozart,"June 15, 1777",Vienna,Maria Theresia Paradis,Munich
15,Joseph Haydn,"September 03, 1773",Verona,Maria Theresia Paradis,Milan
15,Joseph Haydn,"February 09, 1774",Munich,Maria Theresia Paradis,Rome
4,Leopold Mozart,"August 30, 1770",Rome,Maria Theresia Paradis,Salzburg
6,Wolfgang Amadeus Mozart,"January 09, 1779",Rome,Maria Theresia Paradis,Milan
7,Maria Anna Mozart,"August 02, 1776",Vienna,Baron von Grimm,Rome
11,Antonio Salieri,"April 28, 1773",Munich,Baron von Grimm,Verona
13,Emperor Joseph II,"April 03, 1778",Salzburg,Baron von Grimm,London
2,Franz Xaver Mozart,"July 07, 1777",Rome,Baron von Grimm,Munich
15,Joseph Haydn,"October 28, 1773",Salzburg,Baron von Grimm,Vienna
15,Joseph Haydn,"June 14, 1775",Salzburg,Baron von Grimm,Verona
7,Maria Anna Mozart,"August 19, 1772",London,Gottfried van Swieten,Munich
11,Antonio Salieri,"August 06, 1774",Vienna,Gottfried van Swieten,Rome
11,Antonio Salieri,"October 01, 1777",Milan,Gottfried van Swieten,Rome
13,Emperor Joseph II,"February 24, 1775",Salzburg,Gottfried van Swieten,Vienna
9,Michael Puchberg,"April 13, 1770",Munich,Gottfried van Swieten,Munich
2,Franz Xaver Mozart,"August 10, 1774",Salzburg,Gottfried van Swieten,Salzburg
15,Joseph Haydn,"November 29, 1775",Verona,Gottfried van Swieten,Rome
15,Joseph Haydn,"December 25, 1778",Paris,Gottfried van Swieten,Salzburg
6,Wolfgang Amadeus Mozart,"February 14, 1778",Vienna,Gottfried van Swieten,Salzburg
14,Abbé Stadler,"December 12, 1778",Vienna,Gottfried van Swieten,London
10,Lorenzo Da Ponte,"September 24, 1778",Milan,Antonio Salieri,Vienna
8,Maria Theresia Paradis,"July 24, 1778",Vienna,Antonio Salieri,Milan
13,Emperor Joseph II,"March 30, 1770",Vienna,Antonio Salieri,Salzburg
4,Leopold Mozart,"February 25, 1779",Paris,Antonio Salieri,Munich
11,Antonio Salieri,"July 21, 1771",Rome,Johann Christian Bach,Salzburg
8,Maria Theresia Paradis,"October 09, 1777",Salzburg,Johann Christian Bach,Verona
13,Emperor Joseph II,"June 09, 1774",Vienna,Johann Christian Bach,Paris
9,Michael Puchberg,"December 26, 1777",Verona,Johann Christian Bach,Vienna
2,Franz Xaver Mozart,"December 13, 1770",Salzburg,Johann Christian Bach,Vienna
4,Leopold Mozart,"September 01, 1778",Rome,Johann Christian Bach,Milan
4,Leopold Mozart,"May 29, 1772",Vienna,Johann Christian Bach,London
14,Abbé Stadler,"August 05, 1777",Verona,Johann Christian Bach,Vienna
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
